Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
07-05-2022,20.6,29.8,23.9,79,0.2,7.1,4,240,1,C 
08-05-2022,20.8,31,25.1,79,3.9,7.2,3,250,1,E 
09-05-2022,20.8,31.6,24.4,83,0.2,5.3,3,200,1,NE
10-05-2022,20.6,31.4,24.5,82,14.3,4.8,3,110,1,C 
11-05-2022,20.7,30,25.4,81,1.5,6.8,4,230,2,W 
12-05-2022,20.6,30,25.2,79,1.4,5.3,4,290,2,W 
13-05-2022,22,31.4,25.6,76,0.2,3.3,3,290,2,W 
14-05-2022,22.2,29.4,25.4,82,0.2,8.6,2,270,1,C 
15-05-2022,22.4,31,24.6,82,15,1.8,2,40,1,C 
16-05-2022,20.4,31,23.8,83,3.2,3.9,3,100,1,C 
17-05-2022,20.6,30,23.8,82,3.7,5.9,5,180,1,C 
18-05-2022,20.2,31,24.3,73,11,5.5,3,260,2,W 
19-05-2022,20.2,28.8,24.3,83,0.2,9.2,2,100,1,C 
20-05-2022,21.6,30.2,24.4,80,0.2,3.3,5,110,1,C 
21-05-2022,21.2,27.4,23,84,3.2,6.3,3,290,1,C 
22-05-2022,20.8,28.2,22.8,88,9.8,1.7,3,300,1,C 
23-05-2022,20,29.6,23.7,78,10.7,2.6,3,290,1,C 
24-05-2022,19.4,27.8,22.9,83,0.2,4.9,2,120,1,C 
25-05-2022,20,28.2,23.1,85,1.4,2.2,2,100,1,C 
26-05-2022,20,26.6,22.4,86,5,4,2,70,1,C 
27-05-2022,19,31.2,24.3,72,0.2,0,3,230,1,SW
28-05-2022,20,29.2,23.2,76,1.6,8.6,5,260,2,W 
29-05-2022,20.4,29.6,23.6,81,4.5,7.7,3,250,1,C 
30-05-2022,20,27,22.7,84,0.2,7.6,3,210,1,W 
31-05-2022,19.2,30,23.1,78,0.2,2.9,5,240,2,SW
01-06-2022,19.2,30.2,24.4,78,0.2,8.7,4,270,1,C 
02-06-2022,21.4,28.6,24.1,83,0.2,7.7,4,210,1,C 
03-06-2022,19.2,29,22.7,82,0.8,1.7,2,90,1,C 
04-06-2022,20.4,28.4,23.3,83,7.8,4.5,3,210,0,C 
05-06-2022,20.2,28.8,23.1,84,1.2,4.5,2,210,0,C 
06-06-2022,19.6,26.4,21.5,89,16,5.5,1,100,0,C 
07-06-2022,19.6,28,22.8,85,10.5,0.4,2,300,1,C 
08-06-2022,19.8,27.4,22.7,86,0.2,5.8,3,260,1,C 
09-06-2022,19.7,28.2,22.4,84,1.7,4.3,3,230,1,C 
10-06-2022,19.4,30,23.3,77,0.2,2.9,3,110,1,C 
11-06-2022,19.3,27.8,23.1,84,0.2,6.5,2,70,1,C 
12-06-2022,20,28.6,22.9,85,19,4.2,2,90,0,C 
13-06-2022,19.3,28.4,22.9,85,27,4.7,2,250,0,C 
14-06-2022,20,29.2,23.8,83,2.8,5.2,3,90,1,C 
15-06-2022,20,26.8,23.5,82,0.2,4.2,2,120,1,C 
16-06-2022,19.2,26.8,22.2,84,0.2,0.3,2,120,1,C 
17-06-2022,19.8,26.4,22.2,88,0.2,0.8,2,130,0,C 
18-06-2022,19.4,29.48076923,22,84,0.2,0,3,250,1,C 
19-06-2022,19,28.4,22.8,84,0.4,5,3,250,1,E 
20-06-2022,19.2,29,22.9,82,0.2,6,3,100,1,C 
21-06-2022,19,29,22.4,84,11.8,5,5,100,2,E 
22-06-2022,19,29.4,23.5,78,0.2,7.4,4,100,2,E 
23-06-2022,19.5,29.6,23.4,73,0.6,7.4,3,100,1,C 
24-06-2022,19.8,28.6,22.8,79,0.2,8.3,3,100,1,E 
25-06-2022,18.8,27.6,22.3,80,0.2,5.1,3,110,1,W 
26-06-2022,19,25.8,21.8,91,0.2,4.3,2,290,0,C 
27-06-2022,20.6,28.2,23.1,86,33.4,0.2,3,250,1,C 
28-06-2022,19.4,28.6,23.1,78,17.4,3.3,3,90,2,E 
29-06-2022,19,29.4,23.1,73,0.2,8.3,2,250,1,C 
30-06-2022,17.6,29.2,22.3,72,0.2,9.8,3,60,1,C 
01-07-2022,16.8,29.2,21.8,70,0.2,8.4,6,100,2,E 
02-07-2022,18.8,30.4,24,74,0.2,10,3,110,1,E 
03-07-2022,20.2,30.4,24.2,77,0.2,7.1,3,100,1,C 
04-07-2022,21,30.6,24.5,73,0.2,5.9,5,50,2,NE
05-07-2022,19.6,29.4,22.3,86,0.2,5.8,2,50,1,C 
06-07-2022,21.4,28,23.5,86,14.5,5.9,4,240,1,C 
07-07-2022,20,30.2,23.8,78,3.7,4,3,260,1,C 
08-07-2022,19.5,30,23.3,72,0.2,9.4,2,120,1,E 
09-07-2022,18,29.6,22.1,73,0.2,7.9,5,110,2,E 
10-07-2022,17.6,27.8,21.3,80,0.2,8.2,3,110,1,E 
11-07-2022,17.6,29.2,22.4,75,0.2,4,2,260,1,C 
12-07-2022,18,30.3,24.1,74,0.2,5,5,100,2,E 
13-07-2022,21,29.48076923,23.70641026,78.39666239,0.2,6.1,2,10,1,C 
